Variance,Skewness,Curtosis,Entropy,Class
1.5356,9.1772,-2.2718,-0.73535,0
2.6719,3.0646,0.37158,0.58619,0
0.93584,8.8855,-1.6831,-1.6599,0
3.9102,6.065,-2.4534,-0.68234,0
1.6349,3.286,2.8753,0.087054,0
2.5635,6.7769,-0.61979,0.38576,0
4.1373,0.49248,1.093,1.8276,0
2.3066,3.5364,0.57551,0.41938,0
1.1317,3.9647,3.3979,0.84351,0
3.245,6.63,-0.63435,0.86937,0
4.0296,2.6756,0.80685,0.71679,0
0.87603,6.8141,0.84198,-0.17156,0
1.4806,7.6377,-2.7876,-1.0341,0
3.5438,1.2395,1.997,2.1547,0
4.2188,6.8162,-1.2804,0.76076,0
1.7819,6.9176,-1.2744,-1.5759,0
2.5331,2.9135,-0.822,-0.12243,0
3.8969,7.4163,-1.8245,0.14007,0
2.8969,0.70768,2.29,1.8663,0
-1.5075,1.9224,7.1466,0.89136,0
4.6689,1.3098,0.055404,1.909,0
3.4663,1.1112,1.7425,1.3388,0
2.0139,6.1416,0.37929,0.56938,0
0.4339,5.5395,2.033,-0.40432,0
5.0452,3.8964,-1.4304,0.86291,0
0.11739,6.2761,-1.5495,-2.4746,0
0.5706,-0.0248,1.2421,-0.5621,0
1.8799,2.4707,2.4931,0.37671,0
1.8314,6.3672,-0.036278,0.049554,0
-1.8584,7.886,-1.6643,-1.8384,0
1.3234,3.2964,0.2362,-0.11984,0
-0.36038,4.1158,3.1143,-0.37199,0
1.3562,3.2136,4.3465,0.78662,0
-1.3389,1.552,7.0806,1.031,0
2.0466,2.03,2.1761,-0.083634,0
0.3798,0.7098,0.7572,-0.4444,0
0.5734,9.1938,-0.9094,-1.872,0
2.2034,5.9947,0.53009,0.84998,0
3.744,0.79459,0.95851,1.0077,0
4.9342,2.4107,-0.17594,1.6245,0
0.89566,7.7763,-2.7473,-1.9353,0
0.3223,-0.89808,8.0883,0.69222,0
0.44125,2.9487,4.3225,0.7155,0
2.5678,3.5136,0.61406,-0.40691,0
1.6849,8.7489,-1.2641,-1.3858,0
-1.9177,11.6894,2.5454,-3.2763,0
1.5902,2.2948,3.2403,0.18404,0
2.1274,5.1939,-1.7971,-1.1763,0
-1.7344,2.0175,7.7618,0.93532,0
4.4549,2.4976,1.0313,0.96894,0
1.0607,2.4542,2.5188,-0.17027,0
3.0009,5.8126,-2.2306,-0.66553,0
1.8205,6.7562,0.0099913,0.39481,0
0.88872,5.3449,2.045,-0.19355,0
3.2051,8.6889,-2.9033,-0.7819,0
2.805,0.57732,1.3424,1.2133,0
-2.4953,11.1472,1.9353,-3.4638,0
0.86736,5.5643,1.6765,-0.16769,0
1.9647,6.9383,0.57722,0.66377,0
-0.062025,6.1975,1.099,-1.131,0
4.223,1.1319,0.72202,0.96118,0
1.941,0.46351,4.6472,1.0879,0
4.0047,0.45937,1.3621,1.6181,0
1.9818,9.2621,-3.521,-1.872,0
-1.2576,1.5892,7.0078,0.42455,0
0.3798,0.7098,0.7572,-0.4444,0
1.3349,6.1189,0.46497,0.49826,0
2.4527,2.9653,0.20021,-0.056479,0
3.9121,2.9735,0.92852,0.60558,0
0.77124,9.0862,-1.2281,-1.4996,0
1.602,6.1251,0.52924,0.47886,0
0.96574,8.393,-1.361,-1.4659,0
-1.9458,11.2217,1.9079,-3.4405,0
0.39559,6.8866,1.0588,-0.67587,0
3.8384,6.1851,-2.0439,-0.033204,0
0.3798,0.7098,0.7572,-0.4444,0
2.0962,2.4769,1.9379,-0.040962,0
-1.8411,10.8306,2.769,-3.0901,0
0.5706,-0.0248,1.2421,-0.5621,0
3.9433,2.5017,1.5215,0.903,0
2.0153,1.8479,3.1375,0.42843,0
3.1896,5.7526,-0.18537,-0.30087,0
4.0405,0.51524,1.0279,1.106,0
1.4276,8.3847,-2.0995,-1.9677,0
-2.7914,1.7734,6.7756,-0.39915,0
5.2032,3.5116,-1.2538,1.0129,0
0.65497,5.1815,1.0673,-0.42113,0
1.0652,8.3682,-1.4004,-1.6509,0
5.086,3.2798,-1.2701,1.1189,0
-1.1391,1.8127,6.9144,0.70127,0
3.946,6.8514,-1.5443,-0.5582,0
-0.278,8.1881,-3.1338,-2.5276,0
1.8384,6.063,0.54723,0.51248,0
2.9233,6.0464,-0.11168,-0.58665,0
-0.38388,-1.0471,8.0514,0.49567,0
-0.11996,6.8741,0.91995,-0.6694,0
5.3586,3.7557,-1.7345,1.0789,0
1.8373,6.1292,0.84027,0.55257,0
4.3634,0.46351,1.4281,2.0202,0
1.3754,8.8793,-1.9136,-0.53751,0
2.4673,1.3926,1.7125,0.41421,0
0.77805,6.6424,-1.1425,-1.0573,0
3.4465,2.9508,1.0271,0.5461,0
3.6077,6.8576,-1.1622,0.28231,0
3.7022,6.9942,-1.8511,-0.12889,0
3.5829,1.4423,1.0219,1.4008,0
2.5559,3.3605,2.0321,0.26809,0
4.0932,5.4132,-1.8219,0.23576,0
0.74841,7.2756,1.1504,-0.5388,0
1.0182,9.109,-0.62064,-1.7129,0
4.7926,1.7071,-0.051701,1.4926,0
0.75736,3.0294,2.9164,-0.068117,0
4.7114,2.0755,-0.2702,1.2379,0
2.6606,3.1681,1.9619,0.18662,0
-2.8829,3.8964,-0.1888,-1.1672,0
-5.637,8.1261,0.13081,-5.0142,0
-4.1244,3.7909,-0.6532,-4.1802,0
-2.1979,-2.1252,1.7151,0.45171,0
0.14329,-1.0885,1.0039,0.48791,0
-2.2482,3.0915,-2.3969,-2.6711,0
0.59823,3.5012,-3.9795,-1.7841,0
-1.6176,1.0926,-0.35502,-0.59958,0
-2.2183,-1.254,2.9986,0.36378,0
-3.2778,1.8023,0.1805,-2.3931,0
-1.5252,-6.2534,5.3524,0.59912,0
1.0552,1.1857,-2.6411,0.11033,0
-0.82053,0.65181,-0.48869,-0.52716,0
-0.60975,-4.002,1.8471,0.6017,0
-2.3797,-1.4402,1.1273,0.16076,0
0.6212,3.6771,-4.0771,-2.0711,0
-5.4901,9.1048,-0.38758,-5.9763,0
-0.26654,-0.64562,-0.42014,0.89136,0
1.581,0.86909,-2.3138,0.82412,0
-0.4294,-0.14693,0.044265,-0.15605,0
0.21431,-0.69529,0.87711,0.29653,0
-0.39416,-0.020702,-0.066267,-0.44699,0
-3.2854,4.0372,-0.45356,-1.8228,0
-1.5078,-7.3191,7.8981,1.2289,0
-1.0116,-0.19038,-0.90597,0.003003,0
-0.092194,0.39315,-0.32846,-0.13794,0
-0.7351,1.7361,-1.4938,-1.1582,0
-2.2811,-0.85669,2.7185,0.044382,0
-1.4233,-0.98912,2.3586,0.39481,0
2.0177,1.7982,-2.9581,0.2099,0
-2.1652,3.0211,-2.4132,-2.4241,0
-3.6817,3.2239,-0.69347,-3.4004,0
-0.8734,-0.033118,-0.20165,0.55774,0
-2.5754,-5.6574,6.103,0.65214,0
-1.8448,1.254,0.27218,-1.0728,0
-1.4628,-1.5706,2.4357,0.49826,0
-5.0676,-5.1877,10.4266,-0.86725,0
0.23874,2.0879,-3.3522,-0.66553,0
-1.6641,-1.3678,1.997,0.52283,0
1.2198,2.0982,-3.1954,0.12843,0
-0.70867,-5.5602,4.0483,0.903,0
-1.4377,-1.432,2.1144,0.42067,0
-2.2617,-4.7428,6.3489,0.11162,0
-2.2173,1.4671,-0.72689,-1.1724,0
-5.4808,8.1819,0.27818,-5.0323,0
0.11806,0.39108,-0.98223,0.42843,0
-3.0799,0.60836,2.7039,-0.23751,0
-1.1667,-1.4237,2.9241,0.66119,0
0.12126,0.22347,-0.47327,0.97024,0
-2.5919,-1.0553,3.8949,0.77757,0
-2.1802,3.3791,-1.2256,-2.6621,0
-2.565,-5.7899,6.0122,0.046968,0
-1.9555,0.20692,1.2473,-0.3707,0
-0.69879,-3.3771,4.1211,1.5043,0
-0.51003,-0.23591,0.020273,0.76334,0
-2.3675,-0.43663,1.692,-0.43018,0
-2.4561,-4.5566,6.4534,-0.056479,0
-1.6637,3.2881,-2.2701,-2.2224,0
-2.0631,-1.5147,1.219,0.44524,0
-1.9881,0.99945,-0.28562,-0.70044,0
-1.7063,2.7956,-2.378,-2.3491,0
0.18868,0.70148,-0.51182,0.0055892,0
-1.0941,2.3072,-2.5237,-1.4453,0
-2.2625,-0.099335,2.8127,0.48662,0
0.40614,1.3492,-1.4501,-0.55949,0
-0.014902,-1.0243,-0.94024,0.64955,0
0.83625,1.1071,-2.4706,-0.062945,0
-2.7723,3.2777,-0.9351,-3.1457,0
-0.89809,-4.4862,2.2009,0.50731,0
0.39012,-0.14279,-0.031994,0.35084,0
-2.2918,-7.257,7.9597,0.9211,0
-0.64326,2.4748,-2.9452,-1.0276,0
-1.4446,2.1438,-0.47241,-1.6677,0
-2.1059,1.1815,-0.53324,-0.82716,0
1.3183,1.9017,-3.3111,0.065071,0
0.6005,0.99945,-2.2126,0.097399,0
-1.005,0.084831,-0.2462,0.45688,0
-6.5084,8.7696,0.23191,-3.937,0
-3.5798,0.45937,2.3457,-0.45734,0
-0.94255,0.039307,-0.24192,0.31593,0
-2.5346,-0.77392,3.3602,0.00171,0
-0.10234,1.8189,-2.2169,-0.56725,0
-2.1405,-0.16762,1.321,-0.20906,0
-0.55648,3.2136,-3.3085,-2.7965,0
-0.69078,-0.50077,-0.35417,0.47498,0
-2.7083,-6.8266,7.5339,0.59007,0
0.66365,-0.045533,-0.18794,0.23447,0
-5.2943,-5.1463,10.3332,-1.1181,0
-1.2786,-2.4087,4.5735,0.47627,0
-0.83121,0.039307,0.05369,-0.23105,0
-1.5621,-2.2121,4.2591,0.27972,0
-1.2792,2.1376,-0.47584,-1.3974,0
-2.0285,3.8468,-0.63435,-1.175,0
-1.1859,-1.2519,2.2635,0.77239,0
-4.6765,-5.6636,10.969,-0.33449,0
-2.659,-1.6058,1.3647,0.16464,0
-0.0012852,0.13863,-0.19651,0.0081754,0
-1.8046,-6.8141,6.7019,1.1681,0
1.0194,1.1029,-2.3,0.59395,0
-0.8734,1.6533,-2.1964,-0.78061,0
-1.2667,2.8183,-2.426,-1.8862,0
0.24394,1.4733,-1.4192,-0.58535,0
0.066129,2.4914,-2.9401,-0.62156,0
-4.5046,-5.8126,10.8867,-0.52846,0
-3.6085,3.3253,-0.51954,-3.5737,0
-4.3773,-5.5167,10.939,-0.4082,0
-1.7263,-6.0237,5.2419,0.29524,0
0.030219,-1.0512,1.4024,0.77369,0
-1.9725,2.8825,-2.3086,-2.3724,0
-0.24745,1.9368,-2.4697,-0.80518,0
-1.2943,2.6735,-0.84085,-2.0323,0
-0.3481,-0.38696,-0.47841,0.62627,0
-0.91318,-2.0113,-0.19565,0.066365,0
-1.3995,-1.9162,2.5154,0.59912,0
-0.40804,0.54214,-0.52725,0.6586,0
-0.1269,-1.1505,-0.95138,0.57843,0
0.75896,0.29176,-1.6506,0.83834,0
1.4501,3.6067,-4.0557,-1.5966,0
-2.2677,3.2964,-2.2563,-2.4642,0
-2.3147,3.6668,-0.6969,-1.2474,0
-3.3884,-8.215,10.3315,0.98187,0
0.98296,3.4226,-3.9692,-1.7116,0
-2.3518,-4.8359,6.6479,-0.060358,0
-1.6514,-8.4985,9.1122,1.2379,0
-2.9498,-8.273,10.2646,1.1629,0
-2.588,3.8654,-0.3336,-1.2797,0
0.1848,6.5079,2.0133,-0.87242,1
2.6799,3.1349,0.34073,0.58489,1
1.762,4.3682,2.1384,0.75429,1
3.4916,8.5709,-3.0326,-0.59182,1
1.2616,4.4303,-1.3335,-1.7517,1
