Variance,Skewness,Curtosis,Entropy,Class
3.6216,8.6661,-2.8073,-0.44699,0
3.866,-2.6383,1.9242,0.10645,0
3.5912,3.0129,0.72888,0.56421,0
1.2247,8.7779,-2.2135,-0.80647,0
3.9899,-2.7066,2.3946,0.86291,0
3.404,8.7261,-2.9915,-0.57242,0
2.6719,3.0646,0.37158,0.58619,0
5.2423,11.0272,-4.353,-4.1013,0
0.3292,-4.4552,4.5718,-0.9888,0
4.4338,9.887,-4.6795,-3.7483,0
-0.24811,-0.17797,4.9068,0.15429,0
1.4884,3.6274,3.308,0.48921,0
4.2969,7.617,-2.3874,-0.96164,0
2.4391,6.4417,-0.80743,-0.69139,0
4.1711,8.722,-3.0224,-0.59699,0
-0.2062,9.2207,-3.7044,-6.8103,0
-0.0068919,9.2931,-0.41243,-1.9638,0
3.1452,5.825,-0.51439,-1.4944,0
0.49665,5.527,1.7785,-0.47156,0
4.2586,11.2962,-4.0943,-4.3457,0
1.0009,7.7846,-0.28219,-2.6608,0
4.1373,0.49248,1.093,1.8276,0
4.7181,10.0153,-3.9486,-3.8582,0
4.4069,10.9072,-4.5775,-4.4271,0
0.24835,7.6439,0.9885,-0.87371,0
2.8033,9.0862,-3.3668,-1.0224,0
5.0185,8.5978,-2.9375,-1.281,0
3.245,6.63,-0.63435,0.86937,0
0.87603,6.8141,0.84198,-0.17156,0
3.8027,0.81529,2.1041,1.0245,0
4.0632,3.584,0.72545,0.39481,0
3.2718,1.7837,2.1161,0.61334,0
3.5438,1.2395,1.997,2.1547,0
2.9163,10.8306,-3.3437,-4.122,0
4.2188,6.8162,-1.2804,0.76076,0
2.5331,2.9135,-0.822,-0.12243,0
3.8969,7.4163,-1.8245,0.14007,0
2.108,6.7955,-0.1708,0.4905,0
0.9297,-3.7971,4.6429,-0.2957,0
4.0713,10.4023,-4.1722,-4.7582,0
3.2697,-4.3414,3.6884,-0.29829,0
2.0139,6.1416,0.37929,0.56938,0
5.032,8.2026,-2.6256,-1.0341,0
1.7317,-0.34765,4.1905,-0.99138,0
3.8481,10.1539,-3.8561,-4.2228,0
0.5195,-3.2633,3.0895,-0.9849,0
3.8584,0.78425,1.1033,1.7008,0
3.6277,0.9829,0.68861,0.63403,0
2.7391,7.4018,0.071684,-2.5302,0
4.5447,8.2274,-2.4166,-1.5875,0
2.2634,-4.4862,3.6558,-0.61251,0
1.3566,4.2358,2.1341,0.3211,0
0.17346,7.8695,0.26876,-3.7883,0
2.4008,9.3593,-3.3565,-3.3526,0
1.8799,2.4707,2.4931,0.37671,0
3.6582,5.6864,-1.7157,-0.23751,0
2.3925,9.798,-3.0361,-2.8224,0
3.9663,10.1684,-4.1131,-4.6056,0
